x,y,z_i,q_i,on_hull
18.1641,9.33105,6,0,0
19.2267,27.5137,5,1,0
31.9398,19.2869,5,1,0
26.2701,18.1913,6,0,0
27.4646,34.8856,6,0,0
19.1827,12.0972,6,0,0
3.47868,25.9517,6,0,0
16.8129,5.05863,4,2,0
30.0907,9.45751,6,0,0
25.9548,5.47425,5,-1,1
33.4031,26.2385,5,1,0
17.5154,41.4841,7,-3,1
9.12677,35.674,6,0,0
8.15645,26.5717,6,0,0
2.00978,17.4432,6,-2,1
25.4038,37.1081,6,0,0
16.014,6.69373,7,-1,0
12.1603,5.84841,6,-2,1
25.7465,7.26723,7,-1,0
33.2142,16.0118,6,0,0
15.5053,28.4419,6,0,0
12.3959,25.5773,6,0,0
12.8293,40.1578,5,-1,1
30.8581,35.3104,7,-1,0
7.65081,24.8764,7,-1,0
12.548,30.531,7,-1,0
22.8994,9.60195,6,0,0
11.1603,31.9835,5,1,0
27.8946,23.0801,5,1,0
35.7043,12.9103,6,-2,1
27.006,32.544,5,1,0
14.6628,14.1256,7,-1,0
20.6954,31.0889,6,0,0
38.6287,24.8173,7,-3,1
33.5037,24.8186,6,0,0
28.2848,33.5648,6,0,0
28.1711,16.8907,6,0,0
12.0228,35.7495,6,0,0
38.0321,21.0425,4,2,0
9.66619,27.0368,6,0,0
32.2853,34.3507,7,-1,0
23.7126,29.4316,6,0,0
36.7743,30.5484,5,-1,1
13.6703,34.8872,6,0,0
21.6519,27.2231,6,0,0
25.7543,10.8928,6,0,0
23.9149,24.7288,6,0,0
3.02549,22.623,7,-1,0
16.3991,40.8767,4,2,0
9.62981,32.3974,6,0,0
15.0796,41.1136,5,-1,1
27.5282,13.6486,7,-1,0
29.9193,36.6763,6,0,0
10.8218,24.476,6,0,0
10.6259,35.0442,6,0,0
14.1355,29.8808,7,-1,0
8.30791,13.2176,6,0,0
14.7297,37.624,6,0,0
11.6293,19.9528,6,0,0
29.4686,30.6288,6,0,0
17.5826,19.9008,6,0,0
33.6514,11.271,4,2,0
1.93684,26.0889,4,2,0
24.8314,30.4943,5,1,0
32.3,14.879,7,-1,0
9.34777,17.3215,6,0,0
21.4412,33.4287,6,0,0
14.3684,21.1435,6,0,0
15.4553,34.5146,6,0,0
38.0252,23.5042,4,2,0
24.7001,40.9136,8,-4,1
6.72618,26.611,6,0,0
15.605,4.75019,6,-2,1
26.1273,31.2838,6,0,0
30.7867,21.5051,6,0,0
23.4292,27.1109,5,1,0
16.837,39.5605,6,0,0
35.1093,30.097,7,-1,0
13.4061,5.84086,5,1,0
9.21379,14.6342,6,0,0
4.26809,17.4101,6,0,0
35.1246,22.3883,6,0,0
22.032,31.962,6,0,0
18.6026,25.9364,6,0,0
35.7603,28.5663,6,0,0
30.1845,28.743,7,-1,0
18.4241,39.6523,6,0,0
28.0839,39.8085,6,-2,1
4.57807,24.6954,6,0,0
34.1446,31.5663,7,-1,0
7.93575,29.7014,6,0,0
24.5335,34.131,6,0,0
2.65856,28.2918,4,2,0
24.6321,18.2279,6,0,0
14.9057,19.1518,6,0,0
10.8837,27.8249,6,0,0
16.2217,38.1295,5,1,0
32.423,31.0806,7,-1,0
25.7626,35.302,6,0,0
26.9816,9.82324,6,0,0
16.8917,16.8305,6,0,0
19.9032,34.2659,6,0,0
20.5498,23.2434,6,0,0
29.6176,11.1742,6,0,0
6.92715,28.2861,6,0,0
2.35418,29.62,6,-2,1
10.5598,18.6379,6,0,0
35.6014,32.5835,5,-1,1
5.32486,28.0609,6,0,0
29.0286,20.4675,6,0,0
27.9061,21.5816,6,0,0
16.6308,18.6483,6,0,0
30.96,15.8759,5,1,0
32.4035,11.7154,6,0,0
26.0281,27.3854,6,0,0
10.1899,7.53844,4,2,0
9.93893,13.1597,5,1,0
10.6881,30.6654,6,0,0
32.0746,29.0777,7,-1,0
14.9719,11.5394,5,1,0
